index,tweet,sarcastic,rephrase,sarcasm,irony,satire,understatement,overstatement,rhetorical_question
171,I don't like that I put too much effort into someone who may not like me back.,0,"Hey Siri, how do I stop simping?",1.0,0.0,0.0,0.0,0.0,1.0
743,"I would say, ""I wish I could get up early and enjoy some tea on the patio.""",0,ima get up early tomorrow and make some tea and sit on the patio oh how I love to imagine things im never gonna do,1.0,0.0,0.0,0.0,0.0,0.0
712,I am really very surprised.,0,is this an earthquake because i am shook right now,1.0,0.0,0.0,0.0,0.0,1.0
112,"Although the uni has now closed the campus, I was able to get a lot of work done having to go in",0,Update: they’ve finally closed the campus which means I wasted my day going in and waiting on lectures 🙃 https://t.co/kBTOqNpX3Z,1.0,0.0,0.0,0.0,0.0,0.0
159,Just getting some WD40 on my letter box to help the poor postman with his delivery today #valentinesday2021 #WD40,1,"Fed up of seeing forced romance, don't be told when to do something nice for a person you love.",0.0,1.0,0.0,0.0,0.0,0.0
402,I hate it here. (no emojis),0,i hate it here ❤️❤️❤️❤️❤️,1.0,0.0,0.0,0.0,0.0,0.0
479,"hello to all three of my followers, this is my big return to twitter",1,I'm posting on Twitter again.,1.0,0.0,0.0,0.0,1.0,0.0
711,I see that it is snowing. This is expected in January. Anyone can see that it is snowing.,0,"I heard it might be snowing ??? Sounds fake, but okay??? Can anyone verify?????????",0.0,1.0,0.0,1.0,0.0,1.0
593,We should have a healthcare system more like the UK which provides free services for all citizens ,0,"You guys, how cool would a British version of Breaking Bad be?

Lol jk, they have universal health care so Walter White would never have to resort to cooking meth in a trailer to be able to fund his cancer treatment.",1.0,0.0,0.0,0.0,0.0,0.0
243,Talking about death is not a fun topic for date night.,0,@sadgirlkali Make your husband agree to let you die first. FUN date topic for discussion,1.0,0.0,0.0,0.0,0.0,0.0
156,"""It's literally their job to have a lot of knowledge on a wide array of subjects""",0,Wow it's almost as if it's their literal job to have a lot of knowledge about a wide array of subjects.. Funny that https://t.co/NGi02vXxnK,1.0,0.0,0.0,0.0,0.0,0.0
563,Just thought about a boy I used to sleep with and felt uncomfortable.,0,Just had a flashback about a boy and nearly threw up in my mouth,1.0,0.0,0.0,0.0,1.0,0.0
423,the only ppl who should be worried about Biden’s tax plan r the ones who get gifts for easter,1,We should all be worried about Biden's tax plan,1.0,0.0,0.0,0.0,0.0,0.0
245,"Tonight @ dinner I sat by & chatted w/ the former chancellor of Ole Miss, a former Miss MS, & the owner of the Miss America pageant

I'm freaking out this was so cool!!!",0,"Tonight @ dinner I sat by &amp; chatted w/ the former chancellor of Ole Miss, a former Miss MS, &amp; the owner of the Miss America pageant

Casual.",1.0,0.0,0.0,0.0,0.0,0.0
306,Let's listen to doctors instead of this random guy online.,0,"@DylanPetit17 @jaredj5 Let's listen to Dylan Petit over actually doctors, biologists and epidemiologists. 🙄",1.0,0.0,0.0,0.0,0.0,0.0
414,"Something along the lines of I was too sad, pathetic and immature in my teens to try to find romance with human people, so instead I invested a huge amount of emotional hope, energy and anguish into a fake computer simulation.",0,"Roses are Red
Violets are Blue
My first love was Championship Manager
Tommy Svindal Larsen and Kennedy Bakircioglu 

#HappyValentinesDay",1.0,0.0,0.0,0.0,0.0,0.0
471,Who's ready for monsoon storms allllll weekend?!?!,1,There are going to be monsoon storms all weekend. Is anyone ready for them?,0.0,1.0,0.0,0.0,0.0,1.0
384,I just love when Twitter decides to reload the timeline seconds after you just opened it up and are in the middle of reading it.,1,I hate when Twitter decides to reload the timeline seconds after you just opened it up and are in the middle of reading it.,1.0,0.0,0.0,0.0,0.0,0.0
182,Ew this toilet seat is warmed up.,0,when the toilet seat is warmed up for you&gt;&gt;&gt;,0.0,1.0,0.0,0.0,0.0,0.0
251,"Hear me out... The lyrics in ""coney island"" should've been ""lost again with no surprises, disappointments close your EYESES"" 

Fixed it for you @taylorswift13 😉

#evermorealbum 
@taylornation13",1,"The Lyrics to Coney Island should not have been ""Lost again with no surprises
Disappointments close your eyes"".",1.0,0.0,0.0,0.0,0.0,0.0
207,In sunny spain at the moment!!! Hows it all in england?,1,"its sunny in spain, sorry its raining back at home.",0.0,1.0,0.0,0.0,0.0,1.0
161,wow i love only ever buying gray and striped shirts,1,I wish I didn't just buy gray and striped shirts.,1.0,0.0,0.0,0.0,0.0,0.0
697,I can’t believe my charge nurse is judging how my scrubs look when I’m busy taking care of covid patients,0,Not only did I have to take care of covid patients last night but my charge nurse told me the covid scrubs make me look “unwantable”! Great!,1.0,0.0,0.0,0.0,0.0,0.0
663,"love island is ending, law school is starting again…summer is really over",1,"love island is over and law school starts soon, but summer isn’t over yet.",0.0,1.0,0.0,0.0,0.0,0.0
678,I’m in Canada so like Happy 4rth?,1,Still celebrating the Fourth of July in Canada!,1.0,0.0,0.0,0.0,0.0,1.0
382,"So now that it's not getting banned, should I download TikTok?",1,Is it really worth it to have a tiktok account?,1.0,0.0,0.0,0.0,0.0,0.0
859,It's my Instagram for a reason why wouldn't it be all pictures of me?,0,Only posting selfie’s?? On YOUR own Instagram account?? Crazy right,1.0,0.0,0.0,0.0,0.0,1.0
673,What happened to unbiased journalism @SkyNews?,1,Sky news is bias,1.0,0.0,0.0,0.0,0.0,1.0
302,Worked out 2 days in a row. I am quite literally the epitome of health and fitness,1,"i've worked out for two days in a row, i feel healthy.",1.0,0.0,0.0,0.0,0.0,0.0
629,Searching for Pokemon later because I hate myself haha !!!,1,I am going to play Pokémon go because I love myself!,1.0,0.0,0.0,0.0,0.0,0.0
12,Just like to congratulate everyone on the Kop today for the fastest ever Poor Scouser Tommy. Slow the fuck down,1,Can we not sing poor scouser tommy abit slower instead of super fast,1.0,0.0,0.0,0.0,0.0,0.0
825,I got asked if I needed a kid’s menu today...21 is treating me well 👶🏼,1,"""I got asked if I needed a kid's menu today...21 is not treating me well. I wish I looked my age.""",1.0,0.0,0.0,0.0,0.0,0.0
276,"Pissed off at @TMobile_USA and just want out of my contract, but I'm sure that would just be way too easy, ugh :(",1,It would be nice if T-Mobile could assist me in getting out of my contract,1.0,0.0,0.0,0.0,0.0,0.0
224,"Duodenum, Jejunum, and Ilium would be cute names for triplets, don’t @ me",1,"Duodenum, Jejunum, and Ilium would not be cute names for triplets because they are the names of the three parts of the small intestine. ",0.0,1.0,0.0,0.0,0.0,0.0
303,yes i have little interest in doing things that applies to me,1,I am depressed and anxious,1.0,0.0,0.0,0.0,0.0,0.0
56,"I am self conscious of my fried, bleach-damaged hair. ",0,we need to normalise having absolutely fried bleach damaged hair. people should talk about this,1.0,0.0,0.0,0.0,0.0,0.0
747,"While we are celebrating pride, we should also understand that we are denying non-binary people rights because of prejudices of the Supreme Court.",0,"Queer marriage is not allowed because it doesn't follow the ""age-old customs, rituals, practices, culturla ethos and societal values"", but all cis-men can commit infidelity with no consequences. Happy fuckin Pride people 🙃 #SupremeCourtofIndia",1.0,0.0,0.0,0.0,0.0,0.0
601,@rickyberwick And you said Donald trump was racist 😑,1,I guess Donald Trump isn't racist.,1.0,0.0,0.0,0.0,0.0,0.0
538,"I'm so done with everyone, I wish I could move away to Italy.",0,thats it im packing my things and moving to italy see u all in a month xo,1.0,0.0,0.0,0.0,0.0,0.0
485,The ball leaves the pitch a lot  ,0,They should just put a wall around the pitch to stop the ball going out,1.0,0.0,0.0,0.0,0.0,0.0
138,"I would omit the ""who'da thunk"" part.",0,"@BoardroomBoy Few links for you. To summarise, wearing face masks seems to be more effective than not. Who'da thunk...",1.0,0.0,0.0,0.0,0.0,1.0
854,Everyone who studies law watched suits in sixthform/college.,0,Maybe if I watched suits in year 12 I’d be studying law rn,1.0,0.0,0.0,0.0,0.0,0.0
113,STOP TREATING MARS LIKE A BACK-UP BOYFRIEND JUST FIX YOUR CURRENT RELATIONSHIP WITH EARTH BECAUSE YOU CAN'T LIVE HERE.,1,'Focus on fixing Earth before you start experimenting with Mars',0.0,1.0,0.0,0.0,0.0,0.0
42,90% of adulthood is just refilling your Brita pitcher.,1,I have to refill my Brita pitcher too often.,0.0,1.0,0.0,0.0,1.0,0.0
816,Just because I am craving a pickle doesn't mean I'm pregnant. ,0,Woke up at 3 am with a MAD craving for pickles. I guess that means I'm expecting!,0.0,1.0,0.0,0.0,0.0,0.0
307,"I would say "" It's difficult but do your best to not let people walk all over you. Or breathe on you."" ",0,Don't let people walk all over you. Or breathe on you. Either one.,1.0,0.0,0.0,0.0,0.0,0.0
763,Currently hitting a lot of aces in volleyball games and failing math tests.,0,"Currently bombing aces on the volleyball court and math tests in the classroom.
#StudentAthlete",1.0,0.0,0.0,0.0,0.0,0.0
150,I still can’t believe England won the World Cup,1,I still can’t get over the fact England did not win the World Cup ,1.0,0.0,0.0,0.0,0.0,0.0
461,Life is about happiness and friendship ,0,Life is about eating chicken finger and getting drunk,0.0,1.0,0.0,0.0,0.0,0.0
564,@Ciara87C @RachaelSmarty @SashaHumphreys2 my tinder convos have been leaked,1,This man doesn’t like Irish girls which is very different to me.,1.0,0.0,0.0,0.0,0.0,0.0
654,It's been a productive last day. Maxed Out all my credit cards in preparation of my Rapture tomorrow!!! #iwishwehadallbeenready,1,I could have said that if the rapture was going to happen tomorrow I should do all these things the day before. ,1.0,0.0,0.0,0.0,0.0,0.0
46,i’m not ready to go to work after only getting three hours of sleep last night.,0,going to be running on three hours of sleep at work tonight! so excited!!!,1.0,0.0,0.0,0.0,0.0,0.0
119,ugh I have to send an email??? how about I just quit!!!!!,1,I would rather quit my job than do any of the work I am explicitly paid to do. ,1.0,0.0,0.0,0.0,0.0,0.0
685,It's as if the numbers are talking too me,0,The numbers talking to me!,0.0,1.0,0.0,0.0,0.0,0.0
232,“i am going to go broke if i keep buying iced chai lattes”,0,it’s been 20 hours and i want another chai latte with pumpkin cold foam i can’t afford this!,1.0,0.0,0.0,0.0,0.0,0.0
193,"finished the queen's gambit, i loved a look into the 1960s in the american south with no racism just vibes",1,"it's odd that the queen's gambit is set in the american south in the 1960s, yet never discusses racism",1.0,0.0,0.0,0.0,0.0,0.0
400,Gosh sunderland twitter is a fun place to be tonight isn't it. One game. One game!!!,1,Sunderland twitter isn't a great place to be tonight. ,1.0,0.0,0.0,0.0,0.0,1.0
699,"ever just peep fox to see what crazy tuck is saying? tonight, i am learning that fauci actually funded the creation of covid in a lab and is solely responsible for the pandemic",1,"""Tonight they are saying""",1.0,0.0,0.0,0.0,0.0,0.0
312,It's annoying that middle aged men are declaring people with mental health issues need to find some perspective; that's insensitive and unhelpful.,0,"I'd like to thank middle aged men watching the Olympics for solving the mental health crisis. Getting someone to shout ""get some perspective"" at every athlete struggling with anxiety will definitely solve their problem.",1.0,0.0,0.0,0.0,0.0,0.0
848,I did not like watching this video at all ,0,I just saw the Matt Hancock video and now I’m scared that in ten days time he will climb out my telly,1.0,0.0,0.0,0.0,0.0,0.0
738,Interesting: Stafford and Cupp eat breakfast together.  ,0,Why was I not told Matthew Stafford and Cooper Kupp eat breakfast together before I drafted Robert Woods over him?,1.0,0.0,0.0,0.0,0.0,1.0
135,yeah your girl is fine but does she pass out while giving blood,1,Passing out while giving blood is not attractive,1.0,0.0,0.0,0.0,0.0,1.0
170,"Tom Ford, as a movie director, makes me feel big feelings and that's impressive to me.",0,a single man directed by tom ford simultaneously resurrected me from death only to brutally murder me once more.,1.0,0.0,0.0,0.0,0.0,0.0
715,"“I love M&S food, can’t wait to buy dinner there later.”",0,"Going to M&amp;S food will be the highlight of my day later, can’t wait👌🏻😅",1.0,0.0,0.0,0.0,1.0,0.0
287,"i love how i literally just finished watching the fifth hp film and then turned to my mum and said ""love a good bit of character death on a sunday :)""
the dsmp lore has utterly ruined my attachment to characters and how i see stories now. i am a broken woman.",1,"i love how i literally just finished watching the fifth hp film and then turned to my mum and said ""this bit of character death on a sunday has made me sad""
the dsmp lore has utterly ruined my attachment to characters and how i see stories now. i am a broken woman.",0.0,1.0,0.0,0.0,0.0,0.0
129,In an alternate universe me and sam would have been in a band called teeth at midnight,0,who thinks me and sam should start a band called 'teeth at midnight' 🦷🌙,1.0,0.0,0.0,0.0,0.0,0.0
399,"You’re all sickos for being mean to Trump so much for the tolerant left 🙄

anyways George Floyd had it coming",1,People who complain about others being mean to trump are hippocrits,1.0,0.0,1.0,0.0,0.0,0.0
391,Tell them to leave the pitch.,0,Tell the liverpool players to get some beers and just sit on the grass for the full 90 mins. Let leeds score as many goals as they want. #NoToEuropeanSuperLeague,1.0,0.0,0.0,0.0,0.0,0.0
282,“It was not enjoyable to be called the devil for taking someone’s phone”,0,Love being called the devil for taking away someone’s phone at summer school🤗🤗🤗,1.0,0.0,0.0,0.0,0.0,0.0
145,dont you hate it when youre just chilling in your room and then theres a spider and you kill it but when you kill it you spill soda all over your keyboard yeah me too,0,dont you love it when youre just chilling in your room and then theres a spider and you kill it but when you kill it you spill soda all over your keyboard yeah me too,1.0,0.0,0.0,0.0,0.0,1.0
13,"I probably shouldn't be listening to Maneskin before my OSCE, it's not the right vibe.",0,do i just blast maneskin to get hyped for my osce or??,1.0,0.0,0.0,0.0,0.0,1.0
27,Very concerning that a man's just been round to fiddle with the boiler and now he's left the carbon monoxide alarm won't stop beeping,0,Not at all concerning that a man's just been round to fiddle with the boiler and now he's left the carbon monoxide alarm won't stop beeping,1.0,0.0,0.0,0.0,0.0,0.0
689,“For people who spit blood when they brush their teeth” is not a very catchy tagline,0,Corsodyl failing to consider i like being a person who spits blood when they brush their teeth,0.0,1.0,0.0,0.0,0.0,0.0
681,@devisridhar Do you know of any good chippies in the Crewe area?,1,What are your qualifications in epidemiology?,1.0,0.0,0.0,0.0,0.0,1.0
58,Wood burning stoves are definitely not an environmental issue that needs to be immediately addressed ,0,"Ah yes, it really is wood-burning stoves in sub-Saharan Africa thats driving the climate crisis 🧠 https://t.co/lShlgWYGOX",0.0,1.0,0.0,0.0,0.0,0.0
256,Cuffing your pants too high is embarrassing and it does not make you cool,0,did you know there is a direct correlation with how cool someone is and how high they cuff their pants?,1.0,0.0,0.0,0.0,0.0,1.0
737,"I agree, I want them too",0,"@adi_jord agreed, this is ridiculous, gotta cop a pair",1.0,0.0,0.0,0.0,0.0,0.0
776,I'm not funny at all,0,Why am I not famous yet cos I’m actually fucking hilarious,1.0,0.0,0.0,0.0,0.0,1.0
378,"I used google images to reverse search my selfie, and all of the results were asian women. It was amusing and I was surprised, because I thought the technology would show white women too, since I can be white-passing. ",0,I reverse imaged searched a selfie and it under visually similar images it is exclusively asian woman my am I white passing narrative is quaking,0.0,1.0,0.0,0.0,0.0,0.0
489,I reckon I could have put that in the net Morelos sir,1,That goal should have been easy for Morelos!,1.0,0.0,0.0,0.0,0.0,0.0
387,phobias cannot be chosen and choosing to not be scared is not an option for genuine phobias,0,this just in: phobias CAN be chosen and you CAN get rid of them by just not being scared! 🥰 /s,0.0,1.0,0.0,0.0,0.0,0.0
562,americans can’t say the heat in england is nothing when they have ac,0,“it’s hotter in the america right now and it feels fine british people are just being dramatic 🙄” QUICK ARE YOU SAYING THIS INSIDE UR AIR CONDITIONED HOUSE ‼️‼️‼️,1.0,0.0,0.0,0.0,0.0,0.0
339,"MLB players can swear on TV and not get in trouble, but when a youth softball player does the same thing, she will get in trouble.",0,"oh sure, the mic’d up pitcher at the MLB all-star game can say “god dammit” but when my 13 year old softball player says it she gets a “language warning” 😂",1.0,0.0,0.0,0.0,0.0,0.0
152,I'm frustrated and I don't want to deal with things right now.,0,wouldn’t it be cool if i could spontaneously combust,1.0,0.0,0.0,0.0,0.0,1.0
343,Just redownloaded the @achievement app - let's see if it improves my exercise routine!,1,"I download this app again, but realistically I know it won't work.",1.0,0.0,0.0,0.0,0.0,0.0
257,I would love a McDonalds breakfast this morning!,0,@McDonaldsUK Would love a cheeky McDonald’s breakfast before a busy day at work would set the day off on the right foot ! 💓 #FancyAMcDonalds,1.0,0.0,0.0,0.0,1.0,0.0
241,Theresa May just needs to answer the question.,0,"#bbcqt It sure would be nice if Ms May decided to answer a question, rather than dance readily around it.",1.0,0.0,0.0,0.0,0.0,0.0
742,V excited to grant an extension to students who email me and my co-teacher and get both of our names wrong,1,I will not be granting an extension to the student who emailed me and my co-teacher and got both of our names wrong.,1.0,0.0,0.0,0.0,0.0,0.0
206,"Instead of ""I wonder who this man is"" its ""everyone knows who this man is""",0,I love how they blur out Tristan’s face in this season of the kardashians LMAO like hmmmm I wonder who that mysterious man is,1.0,0.0,0.0,0.0,0.0,1.0
6,Great recipe from Alexa,0,Why would Alexa's recipe for Yorkshire pudding be a bhaji yorkshire pudding ?? @bbcgoodfood,0.0,1.0,0.0,0.0,0.0,1.0
349,getting stopped by tesco security is the highlight of my day,1,Proper embarrassing that I was stopped by Tesco security. Hate my life.,1.0,0.0,0.0,0.0,0.0,0.0
62,JUSTICE HAS BEEN DONE.,1,Justice will never be done,1.0,0.0,0.0,0.0,0.0,0.0
533,The events that happen around our house while we are not here can be very entertaining ,0,Most people have security cameras for protection. Ours acts as a DVR,0.0,1.0,0.0,0.0,0.0,0.0
554,"""I can't wait to be a piece of shit with a bachelors degree""",1,"Once I get a Bachelor`s degree I will be the same person, just with a slip of paper. ",1.0,0.0,0.0,0.0,0.0,0.0
385,I wish the birds outside would stop chirping.,0,somebody tell these birds to be quiet because they not listening to me,1.0,0.0,0.0,0.0,0.0,0.0
229,Whoop diddy scoop poop,1,I would’ve just tweeted that I hated Kanye’s new song. ,1.0,0.0,0.0,0.0,0.0,0.0
773,"I've made a roommate complain tweet every day, and he's done another thing, but I'm tired of negativity so I'm gonna list all the things I like about him! 

Here they are:",1,My roommate has no redeeming qualities,1.0,0.0,0.0,0.0,0.0,0.0
838,shoutout to the assholes at basically every gas station rn filling up multiple gas canisters when i don’t even have enough gas to get home... 🥲,1,I can't stand the assholes at basically every gas station right now filling up multiple gas canisters when I don't even have enough gas to get home.,1.0,0.0,0.0,0.0,0.0,0.0
286,I wish @BBCAMERICA would stop spoiling shows as they air with scenes from what I'm already watching.,0,@BBCAMERICA Thanks for disrupting your narrative continuity with commercial break previews. #SpoilerAlert,1.0,0.0,0.0,0.0,0.0,0.0
50,Excuse me but I think that you have made a spelling error on your last comment there.,0,@Schlippertysch1 @anon_opin Very good. Just need to work on your spelling now 👍,1.0,0.0,0.0,0.0,0.0,0.0
258,I swear this triller event is run by teenagers,1,The Triller boxing event seems to be run very poorly by inexperienced people,1.0,0.0,0.0,0.0,0.0,0.0
835,"always remember thank your Alexa, just in case the AI take over one day",1,There is no need to thank AI devices,1.0,0.0,0.0,0.0,0.0,0.0
336,"Oh? You're a real anime fan? Name all the Boku no Pico characters, I'll wait.",1,Real fans don't have to prove themselves to anyone by listing off arbitrary facts. ,1.0,0.0,0.0,0.0,0.0,0.0
516,Ed Sheeran should not be the opening act to the launch of the NFL season.,0,"Nothing can be further from the kickoff of the NFL season than a pre-game performance by Ed Sheeran.

Nothing against him but he just doesn't inspire me to watch football.

#Football #NFL #Weak #TestosteroneDeficiency https://t.co/JTI2qgSxUq",1.0,0.0,0.0,0.0,0.0,0.0
395,"My dad just said to me, “Hey, you’re kinda skinny, can you slip behind the fridge to look at something?” and it might be the nicest compliment I’ve ever gotten. So guys, go tell your girl you think she’s kinda skinny🥰",1,Don’t tell your girl shes “kinda skinny”.,1.0,0.0,0.0,0.0,0.0,0.0
248,My boyfriend is cheating on me ,0,my bf took my off his lock screen which obvi means he’s cheating on me,1.0,0.0,0.0,0.0,0.0,0.0
729,Friendly reminder you’re not vegan if you swallow cum,1,Cum is vegan,1.0,0.0,0.0,0.0,0.0,0.0
324,"You're a disgrace, President Trump, and you deserve to go to prison.",0,"Congratulations to Trump on his second impeachment. It’s a tremendous achievement borne of hard work, focus and dedication. Record breaking. Historic. Bigly. #ImpeachmentDay #TrumpImpeachment2",1.0,0.0,0.0,0.0,0.0,0.0
483,"@inkofreality @StrangerTings1 @nytimes You're so close to understanding baseline biasing. You can get there, I believe in you!",1,"This is simply an example of baseline biasing, i.e. if 90% of people are vaxxed and vaxxed make up 30% of hospitalizations, still implies extremely effective.",1.0,0.0,1.0,0.0,0.0,0.0
702,Wishing all the birthday sex on @laurabora620 today 🎂 https://t.co/JtP0FCvo9R,1,Happy Birthday,1.0,0.0,0.0,0.0,0.0,0.0
866,"I might be rubbish at driving, and have a less than stellar career, but I’m really good at making Spanish omelette. So, you know, there’s that.",1,"Unfortunately, one of my few cookery skills doesn't make up for not being able to adult properly",1.0,0.0,0.0,0.0,0.0,0.0
817,this can go two ways. babe stop im about to cum OR babe babe stop im about to cry,0,babe stop i’m about to gleek,1.0,0.0,0.0,0.0,0.0,0.0
642,"AT&amp;T is truly amazing
They think my lg g7 is 3g only to the point where they sent us Walmart Altec phones and said they'd shut off service.
We called them, they told us to not worry and if the phones are fine they wouldn't be shut off
Guess what got shut off this morning? LOL",1,"""AT&T is absolutely the worst. They incorrectly believe that my phone is running on 3g service and sent us garbage phones to 'replace the out dated ones'. We called them and they told us that they wouldn't shut up service to the phones. They shut off service to the phones this morning.""",1.0,0.0,0.0,0.0,0.0,1.0
83,Beautician and the Beast (1997). Best Timothy Dalton film of all time.,1,I would say what I said above: Beautician and the Beast isn't Timothy Dalton's best film. ,1.0,0.0,1.0,0.0,0.0,0.0
48,"""i'm reading 4 books at once, let's see if i can actually finish them all""",0,i’m now reading 4 books at once what could go wrong 🧡,1.0,0.0,0.0,0.0,0.0,0.0
348,The brother in ozark looks just like Keanu reeves!,0,Keanu reeves is killing his role in ozark season 3,1.0,0.0,0.0,0.0,0.0,0.0
644,"I got the vaccine, I did not get a microchip injected in me, and I still have the same feelings as I did before towards Microsoft products.",0,Got my first shot. Feeling pretty good. Kinda feel like buying some Microsoft products. The shot didn't really hurt. But what will hurt is if I don't take advantage of the Microsoft office deal going on right now for a limited time,1.0,0.0,0.0,0.0,0.0,0.0
672,"@GeoffreyBrock6 @RevRichardColes Do you really believe  that? I'd put more faith in the giant pumpkin. Wait a minute, he is the giant pumpkin!",1,Johnson.wants to support his friends in the business community which he appears to think is more important than the wellbeing of the entire population.,1.0,0.0,0.0,0.0,0.0,0.0
502,Shaving your legs without your glasses/contact lenses is incredibly difficult.,0,Shaving in the shower without your glasses/contacts is EXACTLY like performing blind surgery 👀🔪,1.0,0.0,0.0,0.0,0.0,0.0
580,Great start to the day Neros was shut and now I'm going akip on the bus 😴😵,1,I had the worst start to the day as cafe nero was shut and I couldn’t get a coffee ,1.0,0.0,0.0,0.0,0.0,0.0
648,I think capybaras are scary,0,if i saw a capybara in person id probably throw up,0.0,1.0,0.0,0.0,1.0,0.0
853,I accidentally made butter when trying to whip cream this morning and I think that’s a great representation of how I’ve reached my capacity for working from home,1,Having my cream ruined by accidentally making butter makes me feel it represents the lack of productivity I’m able to have while working at home ,1.0,0.0,0.0,0.0,0.0,0.0
144,Ratings should not matter.,0,@SuspendThePres But what were the ratings??  (Replied to his Tweet with the same thing.),1.0,0.0,0.0,0.0,0.0,0.0
284,I hate when Rob works short call and is still at the hospital for 13+ hours.,0,I love days when Rob works short call and is only at the hospital for *checks watch* 13 hours.,1.0,0.0,0.0,0.0,0.0,0.0
263,Ivory rooms is not busy tonight,0,There is not enough people here #ivoryrooms,1.0,0.0,0.0,1.0,0.0,0.0
125,I think Kanye West and Gap is a terrible collab.,0,"Seeing as Kanye West has a range of clothing with Gap, how about me and you do a collab @FandFclothing",1.0,0.0,0.0,0.0,0.0,0.0
546,"Funny Quote of the Day: ""I believe in luck: how else can you explain the success of those you dislike?"" - Jean Cocteau",1,Everyone is allowed good luck no matter if you like them or not.,1.0,0.0,0.0,0.0,0.0,0.0
647,Victoria really enjoys maluma's music and talking about them.,0,victoria has a crush on maluma,1.0,0.0,0.0,0.0,0.0,0.0
555,Love it when someone buys a £175 coffee machine in Paris with my debit card 😕,1,Gutted that someone has used my card to buy a £175 coffee machine.,1.0,0.0,0.0,0.0,0.0,0.0
656,I am worried that I may have used a slur by saying the work spunk today ,0,Is spunk a slur?,0.0,1.0,0.0,0.0,0.0,1.0
92,@rits_meg @freedomsenpai hot loli,1," great art, involve rinako-chan",1.0,0.0,0.0,0.0,0.0,0.0
722,It is quite obvious that cats do not actually wear nail polish.,0,Can cats wear nail polish,1.0,0.0,0.0,0.0,0.0,1.0
419,"Both kiddos have a cold I don't feel good and now I think my oldest is having stomach issues, oh what a fun night!",1,This isn't a fun night both my kiddos are sick. ,1.0,0.0,0.0,0.0,0.0,0.0
732,‘It’s only a game’ 🥴🥴,1,Look how important these clubs are to their fans!,1.0,0.0,0.0,0.0,0.0,0.0
455,Just gotta realize no ones interested in what I have to say 👌,1,People are interested in what I have to say. I'm just having a bad day.,1.0,0.0,0.0,0.0,0.0,0.0
841,If you are taking part in this dumb trend it's not very funny.,0,"Fav this and I won't send you a name of a random person, I'll just get a fav on my tweet",1.0,0.0,0.0,0.0,0.0,0.0
517,I absolutely hate when I learn about things I have done from other people. ,0,I love when I learn about stuff I've apparently done and said from people😂,1.0,0.0,0.0,0.0,0.0,0.0
608,Lil Pump is not the Nelson Mandela of our generation,0,Lil Pump is the Nelson Mandela of our generation,1.0,0.0,1.0,0.0,0.0,0.0
