tweet_id,tweet,sarcastic,rephrase,dialect
455.0,الست لسانها لا يتوقف عن الكلام,0,سلاح المرأة لسانها فكيف تدعة يصدأ بعدم الاستعمال,nile
5.0,انت مغفل وتزوجت إمرأة حامل ولم تلاحظ,0,حامل في السادس وماكنتش ملاحظ ده قبل الجواز طب وبالنسبة لليلة الدخلة.,nile
508.0,بيشتغل تلات ساعات ويرجع يقول تعبان مش قادر,1,ده بيدلع,nile
,بنات لبنان قمرات لازم أتجوز منهم ,0,برضك هنتجوز تاني من بتوع لبنان هات اربعه يبني من بيروت,nile
,يعنى فاكره نفسها لتساعد الناس,0,دى فاكره نفسها الام تريزا,nile
,اخد ابن عمى واتغطى بكمى,1,أتجوز براجل طيب أعرفه أحسن من راجل غنى وطبعه وحش,nile
,من قرر ان يتعامل مع الناس لابد ان يتحمل العواقب,0,اللي يعمل خده مداس يتحمل رزالة الناس,nile
480.0,لا اهتم بالتليفونات ولا يشغل بالي هل لأني لا املك المال؟,0,هو انا الوحيده إللى مبهتمش بالتليفونات ولا عشان انا شحاته مبشغلش بالى,nile
,تشرق واحنا فى القصور وتغرب واحنا فى القبور,1,اى ان الدنيا ليست مضمونه,msa
,جيت تعدلها فسدتها,0,جاء يسعى ودر تسعة,magreb
,لما تحبي شخص وتشكي انه هيبعد عنك افعلي اي شىء ليكون جانبك,0,قصقصي ريش طيرك قبل ما يلوف على غيرك,nile
,مصاريف الزواج كثيرة و التحفيز غائب تماما,0,عندما أتذكر أن هناك فتاة أدين لها بخاتم و مبلغ من المال تلقائياً أشعر بالنعاس.,magreb
,الطفل اذا بقيت معاه لازم تلبي رغباته,0,لاتبتسم لطفل في الطائرة إلا إذا كنت تنوي قضاء الرحلة في ملاعبته .,msa
,سيبك منه يا عم ده يومه بسنة,1,هو بطئ ومش هيخلص اللى وراه بسرعة,nile
,عادت ريمة لعادتها القديمة,1,شخص لا يترك عاداته السيئة,nile
,نظام تعليمي ينتج الفشلة والغشاشين,0,لا عاوزين تنجحوهم ولا عاوزين تغششوهم ينتحروا يعني,nile
378.0,اما انتو جريده فيها هيافه استغفر الله العظيم,1,جريدة لا تهتم غير بالأخبار التافهة ,nile
,فاكر انة هيعرف يخلص الشغلانة بسرعة .. موت يا حمار !!,1,مش هيخلص الشغل بسرعة وهيطول فيه جدا,nile
,الليمون اللى هتعسره ع نفسك بكام,1,انت متسحمل الكلام اللى بيتقال دا ازاى,nile
,مهما كان الشىء سىء يوجد من يقدره,0,كل فولة مسوسة لها كيال اعور,nile
,هرقص بس الرقص عيب,0,هاروح اتحزم وأجيلك:slightly_smiling_face:أحلى من الشرف مفيش,nile
26.0,تعالي كل مكرونا وانسي اللي حصل من ايفونا,1,هزيمة نادى الزمالك من الأهلى عندما احرز الهدف ماليك إيفونا,nile
193.0,نفسه يرجع يلعب في الأهلي,0,هيموت ويلعب و يكمل ف العزبه خايف اليغمه تروح عليه,nile
,ليلي طاهر والله افتكرتها ماتت سبحان الله ... انتي ليسه عندك شروط كمان,1,ليلي طاهر كبرت أوى ولسه تريد العودة للتمثيل بشروط,nile
,ده واحد ما يعرفش اي حاجة,0,ده واحد ما يعرفش كوعه منبوعه,nile
733.0,هي حلوة اه بس تبقى حلوة من غيركم لأنكم ضيقتم علينا عيشتنا ربنا يضيقها عليكم دنيا واخرة,1,البلد حلوة بس من غير الحكومة,nile
,وتبغى زيادة بحبك...أجيب لك قلب ثاني منين؟,1,بحبك كتير جدا وحبك يملا القلب,gulf
,كله حمله امال مين اللي هتيضرب,1,كل الناس ساعدت فى حمله ولم يوجد أحد ضربه,nile
,عايزين تعرفوا الشروط هوا شرط واحد يستخدم فى كل وظيفة صنية كوسة,1,الواسطة هي اهم شيء للعمل,nile
,اى ان الناس عديمه القيمه هى الظاهر فى المجتمع,0,القوالب نامت والنصاص قامت عجيبه,nile
,مزاجي عال العالي، احسن من هيك فش,1,مزاجي كثير سيء,levant
116.0,انت ولا فاهم حاجة يبقي تسكت احسن,0,وانت بقي فيلسوف عصرك؟ ماتنقطنا بسكاتك!,nile
,نظام و دقة دولة اليابان,0,كوكب اليابان :red_heart: حد يجيب مجلس الوزارء يفرجهم ع الموسم ده,nile
160.0,النجار اللى عمل الشبابيك اللى فى الشقه عندك سبعه صنايع والحظ ضايع,1,النجار ماهر فى عمله,nile
651.0,عرفهم على بعض واعملوا مشروع وانت وحظك وشطارتك يايولعوا فيك ياتعيش فى جنة,1,عرف زوجاتك على بعض وانت وحظك في اللي هيحصل بعد كدة,nile
,كده كده يا زمالك الدوري في الجزيره 	 عامل فيها بطل وهو بتاع بليله,1,ان الزمالك فريق ضعيف لا يجيد المنافسه,nile
364.0,متصدقش الكلام قبل متشوف بنفسك,0,تسمع كلامه تقول ميسي تشوفه ف الملعب تلاقيه طارق حامد,nile
,بعد علاقة غير شرعية دامة عشرين سنة أمريكا تطلق أفغانستان بثلاث,1,أستقلال أفغانستان,msa
589.0,قسما بالله الجزائر تعمل مننا بطاطس محمره,1,الجزائر هتهزمنا بكل سهولة في كرة القدم,nile
,ضحكولو تمد على طولو  هههههههههههه,1,تمادى إلى حد مقرف,magreb
,شكلك فاهم يا نصه,1,غبي جدا وبيحاول يخطط مثلا,nile
,ديه فاكره نفسها هيفا وهبي,1,فاكره نفسها جميلة وهى لأ,nile
,الراجل بيمثل أنه حنون من أجل التعرف على بنت جديدة,0,حنان الرجل يفوق حنان الأم 10 أضعاف عند محاولته التعرف على فتاة جديدة,nile
152.0,ان الحرامي معندوش ذمة وبيكذب,0,قالوا للحرامي احلف قالهم وحياة قلبي وافراحه,nile
151.0,نظام تعليمي ينتج الفشلة والغشاشين,0,لا عاوزين تنجحوهم ولا عاوزين تغششوهم ينتحروا يعني,nile
536.0,وما فائدة كل ما تفعله وانت قد خسرت الدوري,0,اللى معاه قرش محيره يجيب نجمه ويعمل احتفال بخسارة الدورى,nile
,الجواز ده عامل زي الحمامات العموميه,1,محدش مرتاح,nile
312.0,تفكر روحك ذكي,0,راك تفكر روحك اديسون,magreb
,السنه الدراسيه الجديده هتبتدي والامهات كلها مبسوطه وابناؤهم,1,السنه الدراسيه هتبتدي والطلاب والامهات مش مبسوطين خالص,nile
,انه بيسلم ويقدر اى راجل بيقف معاه,0,صبح على اى رجوله ومسي على كل الناس,nile
,كبير وجايح أكبر شوي شلاغمك يكتفو بعير,1,"من شدة كبر شاربه يستطيع ان يعمل به خيط لربط البعير
معناه انو كبير فالعمر  لكنه لا يزال يهرج",magreb
,اخوها ياسمين دا عامل زي الست اللتاته ال محدش طلب منها تتكلم ولا تقول رأيها,1,ياريت اخو ياسمين عبد العزيز يبطل يتكلم عن اخته,nile
,الامور سيئة جدا و مش منيحة,0,الامور منيحة و النفسية اعلى من هيك فش,levant
,اراء الناس دي كلها جايبينها من الكابنيه,1,اراء الناس دي كلها كلام فارغ,nile
183.0,وزارة الصحة تقلب بيوت الشعب من اجل سبوبة كورونا,0,السبوبه خلصت الناس روحت من الساحل وصرفو فلوسهم خلاص .. نرجع بقي ندور ع سبوبه الشتاا عشان ده اكل عيش ياعمنا,nile
170.0,عليا الطماطم انت صح ياض,1,انت علي الطريق الصح,nile
,هذا العبد حاط روحو ما يخراش,1,هذا الإنسان متكبر كثيرا,magreb
,صوته وحش مثل السرسجية المتصدرين الغناء,0,والله صوته جميل لا تقول حمو بيكا ولا حسن شكوش,nile
582.0,سبحان الله ميسى فى الملعب عامل زى القطط بسبع ارواح,1,قوى بدنيا و مش بيتعب,nile
,دمك مش خفيف,0,حوش يا ولاد هموت من كتر الضحك,nile
287.0,مؤكد العربية ديه حتنطلق للخلف بتوجيهاتكم,1,لن تستطيعوا تصنيع السيارة لانكم فاشلون جدا,nile
,لو مش عاجبك طبعى روح اطبع عند غيرى,1,لو مش عجبك اسلوب وطريقتى فى الكلام امشى وروح لغيرى,nile
42.0,من كتر فلوسك تسلف بنك,1,بتتكلم وكأنك معاك فلوس كتير وأنت معدوم,nile
163.0,الوقت الحلو مش بيتعوض,0,عيش حياتك واستمتع بيها ساعه الحظ ما تتعوضش,nile
,مابقاش فيه حاجة نستغربها بعد تجاربنا فى الحياة,0,عشنا وشفنا وما بقى شي يدهشنا,levant
,معروفة انه اللي بيكبر فشخته دايما بيوقع,1,خليك على قد حالك وبلاش مظاهر,nile
,الراجل الخايب خلفته كتير والبطيخة القرعة لبها كتير,1,الرجل الخايب يقوم بالخلف كثير مثل البطيخه الغير ناضجة,nile
249.0,عادت ريمة لعادتها القديمة,1,شخص لا يترك عاداته السيئة,nile
,الإسماعيلى ماعندوش لعيبة,0,الإسماعيلى بيلعب بالمدربين وعمال النادى,nile
,البجح بياخد حقه وحق اللى بتكسف يطلب حقه,0,يعيش البجح على قفا المكسوف,nile
672.0,والله انت بتعرض خدماتك بالقول بس مش بالفعل,0,والله دي عزومة مراكبية كثيير,nile
437.0,العيون البصاصة تندب فيها رصاصة,1,الناس الحسودة تستاهل كل شر ,nile
454.0,الصديق الوفي هو الذى يختفى عند الحاجة الية,1,مفيش صديق وفى دلوقتى ,msa
162.0,ماذا يفعل هذا ؟ يظن نفسه قوي وهو ضعيف,0,هذا وش راه يدير ، حاط روحو حمّة,magreb
612.0,مورينيو: كرة القدم للرجال على لاعبي أرسنال التوقف عن البكاء,1,لاعبي ارسنال لا يلعبون بشكل جيد,nile
,تونس باريس تذكرة بثمنين اورو الجزائر باريس تذكرة بسبعمية و خمسين وزيد تركب في طيارة شغل سوناكوم,1,سعر تذكرة غالي و نوعية الطائرة كانها باص زمان,magreb
,الناس لسه بتتجوز بردو لا حول والا قوة الا بالله ماحدش بيتعظ,1,يعنى الجواز كله مشاكل ماحدش بياخد عبره من الناس اللى قبله,nile
,نقص وزنك,0,يا بن عمي روح نقص شوية راك تبان كي الدب,magreb
393.0,فاكر نفسه ليدافع عن حقوقنا,0,ده فاكر نفسه عمرو موسى,nile
,الرجل الذى ينجب اولاد فقط ولا ينجب بنات عندما يموت لا يتم الصراخ والعويل علية فماحدش بيعرف انه مات امتى,0,يلي مالو بنات ما حدا بيعرف امتى مات,levant
341.0,لا تفتخر اذا كان لديك اصدقاء بقدر عدد شعر راسك فعندما تحتاجهم ستكتشف انك اصلع,1,لا تظن ان كثرة الاصدقاء يدل علي حب واخلاص فربما يدل علي مصلحه ما,msa
100.0,اللي على قلبه مراوح ما بشوف هيك ولا هيك,1,البارد مش بيهمه شئ,nile
,ان الشخص مش كويس علشان كده محدش عايزه,0,لو كان فيه الخير مكنش رماه للطير,nile
,فاكر نفسك عبقرى,1,أنت مبتفهمش,nile
,شكلك فاهم يا نصه,1,غبي جدا وبيحاول يخطط مثلا,nile
,الغبي لا يري مشكله في نفسه,0,الغباء هو المرض الوحيد الذي لا يتعب المريض وإنما يجلط كل المحيطين به,gulf
,الشعب المصري لا يجد ما ياكله ويعلنون عن الأيفون الجديد,0,لا الشعب المصري الصراحة ناقصها بس الايفون iPhone 13 Pro Max,nile
,فيفي بتعمل نفسها هابله عشان تتجنب قضيه تحريض على الفسق,1,فيفي تتصنع التخلف علشان تتهرب من قضية التحريض على الفسق,nile
,داخل الامتحان واثق من نفسه وماحلش حاجة وخارج يعيط,0,الواد داخل الإمتحان أحمد زويل خرج من الإمتحان أحمد بطة,nile
,الذكية  هى من تتصرف وتنجح بأقل الامكانيات المتاحة,0,الشاطرة ديما تغزل برجل الحمار,nile
,لو الجواز مش جريمه ماكنوش طلبوا اتنين شهود,1,الجواز أكبر جريمه علشان كده بيطلبو شهود عليها,nile
,لاثة مجانين يحب يهربوا من مستشفى المجانين، قالو نعمل خطه، لو السور طويل نقصره شويه ونهرب، ولو السور قصير نهرب على طول، راحوا ملقوش سور، قالوا يلا نرجع الخطه فشلت,1,منتهى الغباء خلى  المجانين يفكروا  أن عدم وجود السور يعني فشل الخطة,magreb
,حتى المثل اتقلب دلوقتى ل امشى عدل يحتار عدوك و صديقك فيك,1,محدش بيحب الخير لحد,nile
442.0,يمكن المشوار يطول وتفصل بطارية الجوال خلال المشوار,0,وصلت مرحلة إذا أحد سألني تروح معاي لازم أعطي بطارية جوالي نظره لأن هي اللي تحدد,gulf
459.0,الواد ده ذكي اوي لابس التيشرت مشقلب,1,الواد غبي مش عارف يلبس التيشرت,nile
387.0,ولاعة محمد صلاح مش عايزة تولع خايفة على صحتنا  الله على اخلاقك يا  فخر العرب :face_with_tears_of_joy:?:smiling_face_with_heart-eyes:,1,محمد صلاح شخص مثالى حتى ولاعته مش عاوزة تضر صحتنا,msa
115.0,بعد الفقر والفاقة جاء الغني والمال,0,سبحان العاطى الوهاب من بعد الشبشب والاوبئاب,nile
,انت تحاول ان تبدو جيدا لكنك غير ذلك,0,دا انت بلسم يسلام,nile
226.0,حسام البدري بياخد ٨٠٠ الف في الشهر بيلعب ٥ ماتشات في السنة بيتعادل منهم ٤ يعني النقطة واقفة علينا بمليون ونص,1,مدرب فاشل وبياخد فلوس كتير عالفاضي,nile
,ان الحرامي معندوش ذمة وبيكذب,0,قالوا للحرامي احلف قالهم وحياة قلبي وافراحه,nile
,مش دايما السكوت علامة الرضا ممكن اكون ساكت بس بشتم فى سرى,1,مش معنى انى ساكت يبقى أنا راضى وموافق بكل كلامك,nile
,المكياج يخفي القباحه,0,تحت المكباج الخادع يوجد قمرا ساطع او نوع من انواع الضفادع,nile
,دا واد خلاصة كييف مصاصة,1,هذا غبي,nile
,لمآ ترمي شيء من بعيد ويدخل بآلزبآلة تقعد تنآظر آللي جنبك النظره الاحترافيه,1,لمآ ترمي شيء من بعيد ويدخل بآلزبآلة تقعد تنآظر آللي جنبك وكانك لاعب كرة سلة محترف,nile
709.0,زيت الزيتون فيه منافع لكل داء,0,زيت الزيتون يشفي كل شيء حسب جداتنا,magreb
,داخل الامتحان واثق من نفسه وماحلش حاجة وخارج يعيط,0,الواد داخل الإمتحان أحمد زويل خرج من الإمتحان أحمد بطة,nile
,نادي الزمالك هيجي السنة الجاية ويخسر برضو,0,شيكابالا : لا تبكي ياابن شرقي سنعود العام القادم ونبكي جميعا,nile
,دمك تقيل,0,يخرب بيت خفة دم ابوك وامك اللى جابوك,levant
,كان كورونا بدا في تونس راو اللي يمرض يهزولو حارتين ياغرت و يطلو عليه رانا انقرضنا,1,الحمد لله أن انتشار المرض بدأ في دولة متقدمة,magreb
,الزمالك فريق فاشل وعشان مباره فازها شاف نفسه علينا,1,الزمالك فريق  فاشل ومغرور,nile
,السائق غير منتبه للطريق والراكب منتبه,0,وصلنا لمرحله  ان اللي يسوق جالس يطقطق بالجوال   واللي جنب السواق منتبه للخط:face_screaming_in_fear::anxious_face_with_sweat::water_pistol:,gulf
,متتدخلش فى اللى ميخصكش,0,وانت مالك اهلك يسطا بالموضوع,nile
,أنا مهما حدث لا انظر إلى الخلف ثقة ام غرور لا غضروف,1,أنا ضهرى واجعنى مش قادر أبص للوراء فى الماضى ,nile
,داااااااااك الزين تقوول مارادونا,1,انتا بشع,magreb
,جيت تعدلها فسدتها,0,جاء يسعى ودر تسعة,magreb
217.0,مش هنعمل الدايت,0,نبقي نعمل الدايت فالاخره بقي,nile
,اى تكون مقدر للناس الى حواليك,0,وحيات امك خف تعوم عندى الناس كلها سواسيه,nile
,الطفل اذا بقيت معاه لازم تلبي رغباته,0,لاتبتسم لطفل في الطائرة إلا إذا كنت تنوي قضاء الرحلة في ملاعبته .,msa
648.0,طفى النور يابهيه كل العسكر حرميه,1,ان العسكر ياخذون خير البلدان,nile
195.0,كل يوم يركب الموصلات العامة وينتقدها مش عاجبك اركب تاكسى او روح شغلك بالطيارة بتاعتكوا,1,يستخدم المواصلات العامة يوميا ودائم الشكوى,nile
,ياعم رمضان صبحى يغور َوجوده زي عدمه,1,رمضان صبحي لاعب فاشل ووجوده مثل عدمه,nile
,اصبر يا عم علينا على الفلوس اللى ليك عندنا هو احنا هنطير,1,اصبر عليا فى الفلوس وهرجعهالك,nile
,يعنى فاكره نفسها لتساعد الناس,0,دى فاكره نفسها الام تريزا,nile
,المصريين في الفهلوة مفيش زيهم,1,أن المصريين يحبوا يبينوا نفسهم عارفين كل حاجة,nile
705.0,حاجة خاطية ليك اخطيها,0,لي خاطيك اعييك,magreb
462.0,بدلا من صرف الأموال على البروباجندا اصرفوها على الفقراء,0,ساعدوا اللي مش لاقين ياكلوا الاول,nile
647.0,لو بابا طبال ماما اكيد بترقص ياهانم,1,طبع الاسره يغلب,nile
,أحنا خرجنا من مرحلة وغي المواطن لمرحلة جدعنة الفيروس,1,الدولة فشلت فى السيطرة على عدم إنتشار الكرونا,nile
488.0,ديه فاكره نفسها هيفا وهبي,1,فاكره نفسها جميلة وهى لأ,nile
,نفض يا مان كبر ايزى ايزى,1,متشغلش بالك,nile
737.0,هى مش خيبة الأمل راكبة جمل اومال معايا بتيجى بسرعة ليه,1,مش للحق اخد نفسى الخيبات بتيجى ورا بعض,nile
,اكفى القدر على فمها ..تطلع البنت لامها,1,البنت تشبه امها كثيرا وتتميز بها,nile
,قفشة اصبح عقدة الزمالك والزمالكاوية,0,طب مبلاش سيرة قفشه عشان فيه بوابين هنا وبيتخضو,nile
,ايه كمية البودرة دي اللي علي وشك,0,فرق كبير ان البنت تحط علي وشها بودرة وانها تحط وشها في البودرة,nile
320.0,عندما تخبئ السناجب الاكل فوق الشجر للشتاء تأتي الزرافة برقبتها العالية وتسرقه وتأكله ولذلك سميت زرافه لانها تزرف اكلهم  معلومة من كيسي,1,عندما تخبئ السناجب الاكل فوق الشجر للشتاء تأتي الزرافة برقبتها العالية وتسرقه وهذه ملعومة خاطئة انا من ابتدعها,msa
,عامل فيها بطل وهو بتاع بليله,1,غلبان في حاله وعامل فيها شجاع,nile
,نستضيف مؤتمر عالمي لمكافحة الفساد في بلد الفساد,0,الله ونعم الاختيار مصر البلد اللي مفيهاش فساد طبعا فلازم تستضيف هذا الحدث العالمي,nile
,البدايات تختلف عن النهايات البداية غزل والنهاية طلاق,0,المحن اشتغل اهوة وبعد كده هيجرو ورا بعض بالشبشب,nile
22.0,الدنيا مترو والشمال كتروا,1,البنات الفاسقات كتروا فى المجتمع,nile
,عامل نفسه جد وفاهم شغله وهو غبى,0,عامل زى ابو الفراجين معندوش يا اما ارمحينى,nile
,علاقة ترامب بالسياسه زى علاقتى باللغه الصينيه,1,ترامب فاشل على المستوى السياسي,nile
,ماشالله حسام البدري اللعيبه اللي من دهب معاه تراب,1,حسام البدري مدرب فاشل,nile
67.0,هى قبيحة ومحدش هيتحرش بها,0,وجهها مثل الركبة و تقول تحرش :face_with_tears_of_joy:.,gulf
,محمد صلاح لعيب,0,محمد صلاح نجم النجوم,nile
,دا فاكر نفسه جاستن بيبر,1,فاكر نفسه صوته حلو زى المغنى جاستن بيبر وهو صوته وحش,nile
,بدلا من صرف الأموال على البروباجندا اصرفوها على الفقراء,0,ساعدوا اللي مش لاقين ياكلوا الاول,nile
,أنت حياتك صعبة ومش طبيعية ,0,هو أنت كدة عايش؟ يا بني دا أنت ميت بالحياة,nile
,مهما كان الشىء سىء يوجد من يقدره,0,كل فولة مسوسة لها كيال اعور,nile
,وزير الاوقاف يفصل عدد كبير من الائمه في مصر,0,وزير الأوقاف على ما أزمة (( كورونا )) تخلص هيكون طرد كل الأئمة ... محتاج خازووق خشبي ..,nile
,الله عليك يا بلاص المفهوميه,1,انت غبي,nile
419.0,الشاب السعودي لو تدق عليه شغاله بالغلط عادي يرجع يدق عليها ويقولها : ترا ارتحت لصوتك وانتي غير عن كل الشغالات :smiling_face:,1,الشاب السعودي يعجب بأى صوت بنت حتى لو شغالة ,gulf
452.0,طول العشرة تعرف الذهب من القشرة.,1,اذا اردت معرفة شخص ما عاشروا لمدة طويلة,magreb
436.0,الدار لي ما يحكمش فيها الرجل,0,اخطيك من دار النساء,magreb
,مش لازم دائما اعمل برأيك,0,مش معنى انك قولتلى رايك يبقى أنا هعمل بيه طب افرض انت حمار استحمر أنا كما زيك,nile
,اللي شايفين ان كل حاجة بتدور حواليهم هما بس ساذجين واغبيا,0,الناس اللي فاكرين نفسهم محور الكون دول طيبين اوي,nile
710.0,النساء هن بعد الصحافه افضل وسيله لنقل الاخبار,1,حديث النساء بينقل الأخبار بسرعة,magreb
,مفيش حد مثله في الخداع,0,مافي حدا مثله يضحك عليك,levant
603.0,بسبب الظروف صرنا نشوف المعزة خرووف,1,الظروف تغير نظرتنا للناس كل مرة,nile
229.0,اللي بيته من إزاز ميحدفش الناس بالطوب,1,شخص معيوب وبيعيب على الناس بعيوبه ومش واخد باله انه معيوب,nile
,مش هجاوبك على سؤال الفلوس خلصت ولا لأ إلا لما تقولى بتسأل ليه,0,هى الفلوس اللى اديتهالك خلصت؟! -على حسب هتدينى غيرها ولا هتتخانق معايا:slightly_smiling_face:,nile
,انت داير بحال الريشة وحاس براسك بحال باتيستا,1,انت ضعيف,magreb
,المراه تحاول احباط زوجها وهو بمنطلق العند يحاول ان يكون عظيما,0,وراء كل رجل عظيم امراه تقول له انت لست عظيما,msa
,فيفي عبدو الام المثالية,1,العاهرة ام مثالية,nile
,لا تفتخر اذا كان لديك اصدقاء بقدر عدد شعر راسك فعندما تحتاجهم ستكتشف انك اصلع,1,لا تظن ان كثرة الاصدقاء يدل علي حب واخلاص فربما يدل علي مصلحه ما,msa
180.0,شخص بلا اهداف واضحه فى حياته,0,الواد دا حكايته على الله,nile
,كان الديكان يعيشان فى سلام حتى ظهرت دجاجة,1,ان اثنان ذكور يكونان فى سلام بينهما حتى تظهر بينهما انثى تفرق بينهما,msa
,اي حاجة باصي لميسي,1,روح لحد بيفهم,nile
,محمد صلاح شخص خارق,0,محمد صلاح لديه خياشيم ويتنفس تحت الماء,msa
,اخوها ياسمين دا عامل زي الست اللتاته ال محدش طلب منها تتكلم ولا تقول رأيها,1,ياريت اخو ياسمين عبد العزيز يبطل يتكلم عن اخته,nile
,شيكابالا لاعب منفوخ على الفاضي زي البالونة المنفوخة هو,1,لا عب متكبر بدون وجه حق,nile
202.0,هل تعلم أنه عندما يغضبك أحدهم فأنت تستهلك 42 عضلة للتكشير في وجهه،بينما لا تحتاج أكثر من 4 عضلات لتشمطه كف,1,انك تضرب اللي مضايقك كف ب4 عضلات اسهل ما تكشر فوشه ب42 عضلة,nile
,شوقي غريب لا يصلح,0,بلاش شوقي غريب والنبي مش ناقصه مرض والله,nile
,مفيش حد بصاحب حد بجد الناس كلها بتخون بعضها,0,يا عم أصاحب مين ده عشري باع ابراهيم,nile
,الغبي لا يري مشكله في نفسه,0,الغباء هو المرض الوحيد الذي لا يتعب المريض وإنما يجلط كل المحيطين به,gulf
,الجزائر الجديدة هي نفسها الجزائر القديمة,0,كي نبعثلك ميساج من الجزائر الجديدة من وين ترد عليا ههه,magreb
,عامل فيها بطل وهو بتاع بليله,1,غلبان في حاله وعامل فيها شجاع,nile
,يكفينا الشرور الغير معروفه,0,قالو يا قاعدين يكفيكوا شر الجايين,nile
,الحكومة دى مجاش زيها فى نزاهتها وإصلاحها,1,الحكومة فاسدة وفاشلة,nile
293.0,فيه ناس مبتفهمش,0,وهناك من يمشي بثلاث فردات من الأحذية اثنتان في رجليه، وواحدة في رأسه,msa
,افشل مدرب للمنتخب المصري هو حسام البدري,0,طيب خد عمك حسام البدري فى ايدك و مسمعش صوت حد فيكم,nile
,خلي بالك يا ريس المرة دي التالته تابته,1,اخر فرصة ليك,nile
,طيب كويس اجي بقا لأني عفنت في مصر,1,اسافر الامارات عشان قعدت كتير في مصر,nile
,امشى اقعد بعيد عنا,0,روح يا راجل شوفلك حته ناشفة اقعد فيها,nile
,الي يقع في غلط ميكرروش,0,الي يتلسع م الشوربه ينفخ في الزبادي,nile
322.0,طلبت نملة من فيل استعمال المايو فرفض لأنه اعتقد أن النملة ستوسع المايو ههههههههههههههههههههه,1,الفيل لم يقدر أنه حجمه الكبير لا يسمح بأن يستطيع حيوان آخر يوسع المايو,msa
660.0,لاثة مجانين يحب يهربوا من مستشفى المجانين، قالو نعمل خطه، لو السور طويل نقصره شويه ونهرب، ولو السور قصير نهرب على طول، راحوا ملقوش سور، قالوا يلا نرجع الخطه فشلت,1,منتهى الغباء خلى  المجانين يفكروا  أن عدم وجود السور يعني فشل الخطة,magreb
15.0,هيورينا ايام اسود من قرن الخروب,1,هيورينا ايام صعبة وشديدة,nile
,كل شخص له طريقته الخاصة فى التصرف فى الأمور,0,كل شيخ وليه طريقه وكل معجن وليه كيال,nile
694.0,ان محمد صلاح ميسلمش على ممثلات عشان حرام,0,محمد صلاح قى حفل التتويج مبيسلمش على الممثلات الله على اخلاقك يا فخر العرب,nile
,فلان مقطع حصر الجامع,1,فلان لا يفارق المسجد,levant
